[2026-04-18 12:18:48] SUCCESS | Input: [[20.0, 20.0, 2.0], [3.0, 4.0, 5.0], [6.0, 8.0, 9.0]] | Assignment: [(0, 2), (1, 1), (2, 0)] | Cost: 12.0
[2026-04-21 15:41:03] SUCCESS | Input: [[1.0, 2.0, 3.0, 4.0], [7.0, 3.0, 4.0, 5.0], [3.0, 4.0, 5.0, 6.0], [4.0, 5.0, 6.0, 7.0]] | Assignment: [(0, 0), (1, 1), (2, 2), (3, 3)] | Cost: 16.0
[2026-04-21 15:41:31] SUCCESS | Input: [[1.0, 2.0, 3.0, 4.0], [7.0, 3.0, 4.0, 5.0], [3.0, 4.0, 5.0, 6.0], [4.0, 5.0, 6.0, 9.0]] | Assignment: [(0, 0), (1, 1), (2, 3), (3, 2)] | Cost: 16.0
[2026-04-22 11:25:19] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-22 11:48:58] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 100.0]] | Assignment: [(0, 0), (1, 2), (2, 1)] | Cost: 150.0
[2026-04-22 11:56:30] SUCCESS | Input: [[101.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 1), (1, 0), (2, 2)] | Cost: 150.0
[2026-04-22 13:34:51] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
[2026-04-22 13:35:18] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 190.0]] | Assignment: [(0, 0), (1, 2), (2, 1)] | Cost: 150.0
[2026-04-22 13:49:35] SUCCESS | Input: [[25.0, 21.0, 22.0, 2.0, 29.0, 27.0], [2.0, 6.0, 4.0, 12.0, 22.0, 17.0], [28.0, 22.0, 15.0, 19.0, 27.0, 27.0], [21.0, 29.0, 17.0, 11.0, 5.0, 11.0], [18.0, 29.0, 29.0, 23.0, 13.0, 18.0], [22.0, 18.0, 10.0, 27.0, 5.0, 2.0]] | Assignment: [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)] | Cost: 48.0
[2026-04-22 13:52:29] SUCCESS | Input: [[1.0, 2.0], [3.0, 4.0]] | Assignment: [(0, 0), (1, 1)] | Cost: 5.0
[2026-04-22 14:00:19] SUCCESS | Input: [[10.0, 20.0, 30.0], [40.0, 50.0, 60.0], [70.0, 80.0, 90.0]] | Assignment: [(0, 0), (1, 1), (2, 2)] | Cost: 150.0
